time,open,high,low,close,Volume,OnBalanceVolume
2023-08-23T13:00:00-05:00,1683.4,1685.79,1676.88,1679.29,10878.5919,-1684992.6813799925
2023-08-23T14:00:00-05:00,1679.29,1702.11,1678.5,1687.2,28210.964,-1656781.7173799926
2023-08-23T15:00:00-05:00,1687.2,1692.78,1679.73,1684.51,18091.635,-1674873.3523799926
2023-08-23T16:00:00-05:00,1684.5,1685.56,1660,1665.26,14285.1407,-1689158.4930799927
2023-08-23T17:00:00-05:00,1665.26,1678.79,1664.22,1676.19,11651.4788,-1677507.0142799928
2023-08-23T18:00:00-05:00,1676.19,1683.07,1675.22,1679.61,8725.9659,-1668781.0483799928
2023-08-23T19:00:00-05:00,1679.61,1683.37,1679.24,1681.98,4994.1263,-1663786.922079993
2023-08-23T20:00:00-05:00,1681.97,1682.78,1672.97,1673.11,7149.5955,-1670936.517579993
2023-08-23T21:00:00-05:00,1673.11,1677.89,1672.36,1673.6,4242.1694,-1666694.348179993
2023-08-23T22:00:00-05:00,1673.6,1676.11,1673.09,1675.54,3530.7625,-1663163.585679993
2023-08-23T23:00:00-05:00,1675.53,1677.78,1673.22,1676.41,4081.2363,-1659082.349379993
2023-08-24T00:00:00-05:00,1676.41,1678.5,1674.26,1674.79,5470.1521,-1664552.501479993
2023-08-24T01:00:00-05:00,1674.8,1679,1672.5,1675.56,5408.5078,-1659143.993679993
2023-08-24T02:00:00-05:00,1675.57,1676.69,1674.1,1674.69,3882.422,-1663026.415679993
2023-08-24T03:00:00-05:00,1674.69,1675.17,1670.31,1674.09,6599.8335,-1669626.249179993
2023-08-24T04:00:00-05:00,1674.1,1677.86,1666.92,1667.59,11500.8656,-1681127.114779993
2023-08-24T05:00:00-05:00,1667.6,1670.4,1666.2,1670.32,4486.3973,-1676640.717479993
2023-08-24T06:00:00-05:00,1670.33,1674.2,1667.67,1667.68,6567.0956,-1683207.8130799928
2023-08-24T07:00:00-05:00,1667.68,1669.79,1665.03,1668.05,6689.2019,-1676518.6111799928
2023-08-24T08:00:00-05:00,1668.04,1668.4,1660.87,1665.35,9023.2829,-1685541.8940799928
2023-08-24T09:00:00-05:00,1665.34,1665.81,1644.46,1646.02,31174.6039,-1716716.4979799928
2023-08-24T10:00:00-05:00,1646.01,1650.13,1642.02,1643.4,14912.2987,-1731628.7966799927
2023-08-24T11:00:00-05:00,1643.4,1656.53,1642.51,1650.95,20232.2007,-1711396.5959799928
2023-08-24T12:00:00-05:00,1650.95,1652.76,1635.28,1649.39,24387.6904,-1735784.2863799927
2023-08-24T13:00:00-05:00,1649.38,1650.44,1642.8,1645.2,11674.3518,-1747458.6381799928
2023-08-24T14:00:00-05:00,1645.21,1655,1644.86,1649.99,8733.3903,-1738725.2478799927
2023-08-24T15:00:00-05:00,1649.99,1654.58,1643.52,1650.04,14084.6333,-1724640.6145799926
2023-08-24T16:00:00-05:00,1650.03,1654.53,1649.42,1654.19,8142.4113,-1716498.2032799926
2023-08-24T17:00:00-05:00,1654.19,1655.27,1652.21,1654.47,4226.9466,-1712271.2566799927
2023-08-24T18:00:00-05:00,1654.47,1665.28,1651.4,1661.16,10345.6048,-1701925.6518799926
2023-08-24T19:00:00-05:00,1661.16,1661.77,1655.99,1656.14,5725.3494,-1707651.0012799925
2023-08-24T20:00:00-05:00,1656.15,1660.35,1653.5,1660.34,5719.6248,-1701931.3764799924
2023-08-24T21:00:00-05:00,1660.34,1664.28,1657.91,1658.53,6010.4688,-1707941.8452799923
2023-08-24T22:00:00-05:00,1658.53,1659.33,1645.66,1655.29,14702.4927,-1722644.3379799924
2023-08-24T23:00:00-05:00,1655.29,1655.8,1648.4,1648.8,8777.2614,-1731421.5993799923
2023-08-25T00:00:00-05:00,1648.81,1654.93,1646.81,1652.62,4747.9226,-1726673.6767799924
2023-08-25T01:00:00-05:00,1652.63,1653.4,1649,1651.18,6158.2827,-1732831.9594799925
2023-08-25T02:00:00-05:00,1651.18,1653.4,1649.62,1651.3,5314.6929,-1727517.2665799926
