time,open,high,low,close,Volume,OnBalanceVolume
2023-08-26T00:00:00-05:00,26076,26076.67,26052.78,26062,264.46708,381669.39103100036
2023-08-26T01:00:00-05:00,26062.01,26079.88,26050.63,26079.88,626.74739,382296.13842100033
2023-08-26T02:00:00-05:00,26079.88,26083.89,26048,26050.81,826.24047,381469.8979510003
2023-08-26T03:00:00-05:00,26050.82,26060,26001.83,26041.9,577.64334,380892.2546110003
2023-08-26T04:00:00-05:00,26041.9,26043.24,26007.03,26015.41,306.9076,380585.3470110003
2023-08-26T05:00:00-05:00,26015.41,26035.15,26013.44,26035.15,274.93035,380860.2773610003
2023-08-26T06:00:00-05:00,26035.15,26054.8,26035.14,26045.87,385.93244,381246.2098010003
2023-08-26T07:00:00-05:00,26045.86,26046.88,25985.92,26029.37,501.7288,380744.4810010003
2023-08-26T08:00:00-05:00,26029.36,26044.2,26029.36,26044.19,271.97871,381016.4597110003
2023-08-26T09:00:00-05:00,26044.19,26073.01,26030.75,26068.01,417.86223,381434.32194100035
2023-08-26T10:00:00-05:00,26068.01,26078,26050.01,26054,498.28771,380936.03423100035
2023-08-26T11:00:00-05:00,26054,26060,26013.59,26041.93,624.24606,380311.7881710004
2023-08-26T12:00:00-05:00,26041.92,26041.93,26004.77,26035.04,481.46794,379830.32023100037
2023-08-26T13:00:00-05:00,26035.05,26035.05,26006,26019.99,255.69735,379574.6228810004
2023-08-26T14:00:00-05:00,26020,26039.49,26019.25,26034.21,264.02529,379838.6481710004
2023-08-26T15:00:00-05:00,26034.22,26043.99,26026,26032.37,253.00081,379585.6473610004
2023-08-26T16:00:00-05:00,26032.38,26047.62,26017.73,26042.02,330.65708,379916.3044410004
2023-08-26T17:00:00-05:00,26042.02,26047.16,26030.2,26030.2,269.48024,379646.8242010004
2023-08-26T18:00:00-05:00,26030.2,26031.15,25988.2,26017.37,535.13269,379111.6915110004
2023-08-26T19:00:00-05:00,26017.38,26030.55,26000,26000.01,278.66401,378833.0275010004
2023-08-26T20:00:00-05:00,26000,26011.72,25966.11,25997.74,790.06538,378042.9621210004
2023-08-26T21:00:00-05:00,25997.74,26020.07,25994.96,26000.06,435.28044,378478.2425610004
